"# Program:featureCounts v2.0.1; Command:""featureCounts"" ""-p"" ""-B"" ""-s"" ""2"" ""-t"" ""gene"" ""-g"" ""locus_tag"" ""-a"" ""00_genome/genomic.gff"" ""-o"" ""HCA_featureCounts_2021.txt"" ""bams/aAWT_B_noglu_24_S19_SP_sorted.bam"" ""bams/aBWT_C_noglu_24_S20_SP_sorted.bam"" ""bams/aCWT_D_noglu_24_S21_SP_sorted.bam"" ""bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam"" ""bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam"" ""bams/HCA_ref_RNA_S7_S1_sorted.bam"" ""bams/JTrmB_A_glu_48_S45_S1_sorted.bam"" ""bams/LTrmB_C_glu_48_S8_S1_sorted.bam"" ""bams/NTrmB_A_noglu_48_S9_S1_sorted.bam"" ""bams/OTrmB_B_noglu_48_S24_S1_sorted.bam"" ""bams/QTrmB_D_noglu_48_S10_S1_sorted.bam"" ""bams/RWT_A_glu_24_S41_S1_sorted.bam"" ""bams/SWT_B_glu_24_S16_SP_sorted.bam"" ""bams/TWT_C_glu_24_S17_SP_sorted.bam"" ""bams/UWT_D_glu_24_S46_S1_sorted.bam"" ""bams/VTrmB_A_glu_24_S25_S1_sorted.bam"" ""bams/WTrmB_B_glu_24_S11_S1_sorted.bam"" ""bams/XTrmB_C_glu_24_S26_S1_sorted.bam"" ""bams/YTrmB_D_glu_24_S18_SP_sorted.bam"" ""bams/ZWT_A_noglu_24_S47_S1_sorted.bam"" "																									
Geneid	Chr	Start	End	Strand	Length	bams/aAWT_B_noglu_24_S19_SP_sorted.bam	bams/aBWT_C_noglu_24_S20_SP_sorted.bam	bams/aCWT_D_noglu_24_S21_SP_sorted.bam	bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam	bams/HCA_ref_RNA_S7_S1_sorted.bam	bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam	bams/JTrmB_A_glu_48_S45_S1_sorted.bam	bams/LTrmB_C_glu_48_S8_S1_sorted.bam	bams/NTrmB_A_noglu_48_S9_S1_sorted.bam	bams/OTrmB_B_noglu_48_S24_S1_sorted.bam	bams/QTrmB_D_noglu_48_S10_S1_sorted.bam	bams/RWT_A_glu_24_S41_S1_sorted.bam	bams/SWT_B_glu_24_S16_SP_sorted.bam	bams/TWT_C_glu_24_S17_SP_sorted.bam	bams/UWT_D_glu_24_S46_S1_sorted.bam	bams/VTrmB_A_glu_24_S25_S1_sorted.bam	bams/WTrmB_B_glu_24_S11_S1_sorted.bam	bams/XTrmB_C_glu_24_S26_S1_sorted.bam	bams/YTrmB_D_glu_24_S18_SP_sorted.bam	bams/ZWT_A_noglu_24_S47_S1_sorted.bam
HAH_RS04630	NC_015948.1	907794	908714	-	921	1572	2721	2738	2060	3287	1935	9218	12972	2192	2046	1115	6224	8105	4068	2064	5461	6057	6695	8867	3029
HAH_RS04635	NC_015948.1	909227	909880	+	654	76	167	197	72	166	27	704	313	92	87	22	218	207	193	175	293	291	220	392	216
HAH_RS04640	NC_015948.1	910081	910578	+	498	1816	3413	3222	5035	3344	4657	5723	4876	2430	5722	1726	2703	3405	3065	2809	3659	3180	3233	4276	3474
HAH_RS04645	NC_015948.1	910712	910894	-	183	1442	2973	3071	2657	5620	2689	4776	4482	2352	4412	1230	2559	3559	3505	2995	4102	2985	3385	4576	4036
HAH_RS04650	NC_015948.1	911482	911949	+	468	552	998	1140	2131	1396	1837	923	1425	2065	3298	1061	573	905	708	825	800	757	677	979	1100
HAH_RS04655	NC_015948.1	911986	912432	+	447	319	603	709	866	463	657	834	741	358	914	308	476	759	696	695	702	641	633	862	576
HAH_RS04660	NC_015948.1	912433	913383	-	951	340	645	697	271	1066	269	302	300	261	313	106	288	318	332	310	295	309	262	383	803
HAH_RS04665	NC_015948.1	913530	913925	+	396	2493	5417	5682	3407	7196	3386	4632	3806	3832	4629	1697	3513	3858	4063	4053	5477	3836	3802	5160	5421
HAH_RS04670	NC_015948.1	913927	914649	+	723	3049	6432	6178	3344	8218	3330	4897	4811	3994	3665	1916	3586	4877	4561	4752	4763	4220	4175	5384	6371
HAH_RS04675	NC_015948.1	914726	914935	+	210	1618	3782	2536	1785	1408	1512	9169	5119	1608	1793	889	3632	3390	2902	2198	4622	3586	3648	5440	3099
HAH_RS04680	NC_015948.1	914938	915318	+	381	2635	5722	3966	3245	2281	2795	11276	7587	2374	3309	1242	5209	6288	4163	2947	9322	5799	5661	8542	4096
HAH_RS04685	NC_015948.1	915299	915910	-	612	1617	3347	3511	2329	5151	1932	3567	3412	1509	2262	833	2674	3801	3517	3401	4480	3469	3355	4366	3180
HAH_RS04690	NC_015948.1	915920	916246	-	327	1677	3415	3644	1881	4098	1841	3684	2842	1544	2247	771	2721	2886	3191	3342	3211	3098	3059	3876	3266
HAH_RS04695	NC_015948.1	916364	917458	-	1095	7608	16248	12032	28014	4333	30906	9335	6750	20401	24446	10651	6989	7164	5263	4108	9326	8418	7089	10939	12390
HAH_RS04700	NC_015948.1	917588	917875	+	288	1310	2922	2701	2524	3726	2820	2386	2701	2823	4410	1490	1618	2291	2456	2216	2447	2021	2190	2722	3099
HAH_RS04705	NC_015948.1	918026	918226	+	201	157	309	356	246	638	183	361	501	206	458	89	201	278	316	327	255	244	267	321	391
HAH_RS19875	NC_015948.1	918325	918489	-	165	287	511	581	345	1588	255	697	649	374	733	126	327	344	403	422	354	339	331	432	894
HAH_RS19880	NC_015948.1	918579	918743	-	165	86	225	182	112	235	75	406	267	69	173	47	241	258	273	224	273	224	224	344	269
HAH_RS04710	NC_015948.1	918846	919616	-	771	1231	2795	2953	2236	4093	2044	1806	1440	2564	2561	1187	2054	2132	2277	2439	2405	2154	2123	2804	2669
HAH_RS04715	NC_015948.1	919695	921392	-	1698	420	1020	1281	478	18864	490	1102	946	439	494	212	855	833	972	1184	1003	972	923	1375	907
HAH_RS04720	NC_015948.1	921490	922572	-	1083	1023	2126	1949	842	1777	788	1695	1255	585	725	320	1828	2091	1818	1474	2234	1965	1963	2556	1790
HAH_RS04725	NC_015948.1	922784	923743	-	960	2324	4740	4217	2015	2253	1787	2161	1382	1378	1589	715	2214	2486	2230	1596	2448	2617	2325	3385	4626
HAH_RS04730	NC_015948.1	923867	924880	-	1014	17285	36619	31826	14244	10707	10155	3124	1702	15218	10034	6080	5771	4278	5302	3458	6046	6461	4136	7312	34765
HAH_RS04735	NC_015948.1	924960	925232	-	273	4265	9527	8056	4510	2473	2821	791	420	4457	3109	1596	1527	845	1239	809	1900	1474	1005	1787	9809
HAH_RS04740	NC_015948.1	925229	926782	-	1554	25641	57577	49754	23521	15952	16293	4814	2748	27138	17291	9710	8572	6605	7550	5027	8511	9532	5892	11273	50699
HAH_RS04745	NC_015948.1	927112	927864	+	753	660	1284	1466	703	1574	613	360	465	510	762	282	320	438	549	664	398	464	428	481	1419
HAH_RS04750	NC_015948.1	927998	928744	-	747	375	1016	1081	416	1511	388	515	516	677	533	250	630	717	757	802	807	730	626	833	1099
HAH_RS04755	NC_015948.1	928883	929926	+	1044	790	1902	1634	876	651	797	1567	637	1343	807	471	836	859	671	787	1174	768	738	1130	1724
HAH_RS04760	NC_015948.1	929923	931002	+	1080	873	2010	1882	792	605	714	1384	614	1360	826	453	868	733	647	659	1108	774	741	1122	1877
HAH_RS04765	NC_015948.1	931044	932141	-	1098	45465	93327	75220	71712	37763	75393	77542	53130	54914	62246	31013	60052	53611	43500	36861	78083	65264	53240	84594	79498
HAH_RS04770	NC_015948.1	932346	933197	+	852	108	248	259	334	283	350	329	325	85	273	82	166	226	221	222	229	189	207	301	245
HAH_RS04775	NC_015948.1	933213	934673	-	1461	930	1714	1739	2195	2337	2047	2505	2203	1754	2176	886	1440	1968	1765	1727	1769	1733	1760	2164	1889
HAH_RS04780	NC_015948.1	935003	935695	+	693	5695	8991	6841	13659	6157	12130	18560	22560	6586	10132	4363	12994	20726	15357	8364	14011	20957	19492	24076	7882
HAH_RS04785	NC_015948.1	935711	936709	-	999	2822	6307	5124	4438	5496	2718	3043	2289	2414	3076	1594	5349	5475	3790	2896	5203	5973	4578	5595	4063
HAH_RS04790	NC_015948.1	937146	937826	+	681	1137	2541	2069	795	1784	725	2607	1586	620	949	358	1812	1804	1546	1286	2643	1793	1800	2561	2359
HAH_RS04795	NC_015948.1	937938	938591	-	654	619	1331	1229	1589	1081	1176	1905	1542	1362	1786	673	1002	1291	1106	882	1334	1299	1274	1634	1166
HAH_RS04800	NC_015948.1	938805	940259	+	1455	544	1213	1037	1457	1728	1213	1200	1055	1776	1625	730	840	943	939	814	800	929	850	1188	1127
HAH_RS04805	NC_015948.1	940262	940915	+	654	397	733	694	708	908	619	773	673	605	750	300	578	626	625	617	572	628	653	841	772
HAH_RS04810	NC_015948.1	941048	942205	-	1158	2357	4517	4180	3869	5115	3672	3215	3647	3173	4287	1677	2455	2996	2662	2460	2764	2970	2754	3375	4638
HAH_RS04815	NC_015948.1	942344	943516	+	1173	956	1882	1743	535	4243	524	683	638	581	576	232	700	664	722	717	756	674	758	845	1846
HAH_RS04820	NC_015948.1	943637	944653	+	1017	3909	7468	6758	4133	10062	3610	4344	4245	5294	5366	2254	3501	4273	3741	3468	3972	3990	3728	5092	7317
HAH_RS04825	NC_015948.1	944650	945528	-	879	1819	3885	3521	2606	3970	2405	3081	2147	2259	2738	1068	2319	2609	1996	1853	3283	2496	2152	3337	3399
HAH_RS04830	NC_015948.1	945758	947251	+	1494	5171	9345	8521	13811	7635	13244	8158	7920	14739	12997	6836	5340	6386	5799	5209	5347	6977	5937	8424	9381
HAH_RS04835	NC_015948.1	947248	947931	+	684	1814	3243	2876	4322	2407	4310	2275	2334	4556	3683	2079	1645	1915	1746	1564	1576	2075	1920	2687	3255
HAH_RS04840	NC_015948.1	947921	949054	+	1134	3341	5928	5351	6779	5139	6378	3988	4179	6790	6002	3278	3142	3694	3355	3145	2927	4308	3486	5013	6178
HAH_RS04845	NC_015948.1	949051	949563	-	513	6480	14342	13624	30242	8204	35706	85147	44669	34495	33116	15328	14919	20284	12121	9426	27557	18440	18129	31022	10851
HAH_RS04850	NC_015948.1	950331	951404	-	1074	1129	2222	2374	4916	26193	7260	2003	2507	6878	5669	3191	1894	2236	2030	2059	1998	2422	2271	3140	2436
HAH_RS04855	NC_015948.1	951407	952405	-	999	587	1127	1347	4161	18517	6400	1350	1609	5682	4675	2949	1155	1463	1470	1425	1285	1549	1546	1999	1278
HAH_RS04860	NC_015948.1	952468	953100	-	633	461	886	900	1519	1441	1251	780	974	1319	1811	618	522	783	805	848	782	670	654	835	983
HAH_RS04865	NC_015948.1	953102	953959	-	858	708	1148	1279	2852	1807	2467	1937	2123	2445	2959	1176	834	1206	1138	1314	890	1104	1124	1326	1439
HAH_RS04870	NC_015948.1	954041	954613	-	573	2179	4031	3514	4296	3535	3587	5025	5310	2581	4449	1367	3294	3827	3637	3454	3990	4160	3804	4941	4066
HAH_RS04875	NC_015948.1	954793	955149	-	357	8734	18671	19414	19098	23776	17532	11784	15843	22461	31409	10400	10730	12873	14749	16830	13765	13353	13415	16499	20778
HAH_RS04880	NC_015948.1	955146	955436	-	291	4476	9689	9503	11491	13458	9612	8097	8476	12993	17718	5812	6258	7655	9243	9879	7289	7177	7556	9637	12158
HAH_RS04885	NC_015948.1	955550	955816	-	267	6270	12863	15019	11520	24435	10531	10469	12444	12262	18526	5630	8717	10569	14135	16327	13618	10488	10766	13251	16486
HAH_RS04890	NC_015948.1	955819	955998	-	180	2756	6352	6269	5279	9315	4538	6727	5600	5962	8456	2259	4745	4908	7553	8871	5541	4446	5085	6443	9248
HAH_RS04895	NC_015948.1	956071	956670	-	600	699	1466	1111	1834	518	1710	1244	1005	1193	1491	629	831	889	652	431	974	859	812	1161	1188
HAH_RS04900	NC_015948.1	956667	957539	-	873	1590	3473	2490	4489	1065	4460	2986	2457	2831	3846	1578	1673	2043	1334	1003	2315	2066	1864	2580	2765
HAH_RS04905	NC_015948.1	957685	958653	+	969	846	2136	1829	644	3239	837	3154	1904	432	556	258	1928	2010	1528	1355	2637	2133	1970	3119	1476
HAH_RS04910	NC_015948.1	958747	959460	+	714	5148	12223	7814	1146	2331	652	15453	8304	1220	899	486	8945	9084	5464	3537	12447	10442	8906	15767	8676
HAH_RS04915	NC_015948.1	959492	959872	-	381	2218	4690	4278	2858	2902	2741	7120	5187	2216	4035	1382	4507	5092	4637	3790	5383	4517	4440	6099	4171
HAH_RS04920	NC_015948.1	959975	961084	+	1110	1841	3847	4059	6324	6566	6069	9112	6435	7405	7321	3574	7703	8334	6894	4836	8429	8127	7126	10554	3936
HAH_RS04925	NC_015948.1	961132	962313	+	1182	1698	3382	3356	3592	3566	3153	3619	3421	3038	3993	1594	2462	3193	2706	2154	2733	2937	2789	3480	3623
HAH_RS04930	NC_015948.1	962350	963276	-	927	504	997	1130	780	1200	790	918	922	570	815	290	645	847	878	922	670	762	677	911	1083
HAH_RS04935	NC_015948.1	963354	964625	+	1272	2475	4889	4571	4987	4878	5688	4109	4298	4472	5305	2465	2846	3739	3396	3078	3375	3652	3353	4277	4854
HAH_RS04940	NC_015948.1	964726	965100	+	375	2427	5030	4126	4532	3230	4093	8853	5906	3055	5178	1640	4260	4619	3573	2927	6414	4485	4328	6272	4405
HAH_RS04945	NC_015948.1	965101	965301	-	201	486	922	600	219	430	151	3075	1193	160	256	87	1099	1072	494	250	1955	1171	1038	1641	783
HAH_RS04950	NC_015948.1	965349	966008	-	660	361	759	656	872	816	870	676	706	957	819	429	398	396	408	369	284	493	395	511	793
HAH_RS04955	NC_015948.1	966005	966625	-	621	605	1254	1143	1500	1171	1437	1435	1628	1387	1310	562	647	936	732	629	728	867	731	1092	1221
HAH_RS04960	NC_015948.1	966686	967600	-	915	6217	13505	10165	16450	4387	19992	10356	10508	13005	12865	6401	5158	6989	5348	4812	6188	6381	6294	8117	10633
HAH_RS04965	NC_015948.1	967667	968200	-	534	699	1500	911	350	481	289	2139	924	164	302	102	823	886	468	271	887	860	720	1254	1290
HAH_RS04970	NC_015948.1	968225	968557	-	333	2724	6235	3319	1844	576	1583	6744	2102	1155	1816	831	2228	2020	741	304	2722	1919	1600	3171	4759
HAH_RS04975	NC_015948.1	968682	968921	-	240	265	598	481	587	522	492	693	554	442	732	195	349	355	376	336	494	351	382	508	617
HAH_RS04980	NC_015948.1	968994	970352	+	1359	1128	2461	2421	1652	3067	2021	1175	1106	849	974	514	1087	1319	1172	1148	1286	1148	1137	1347	2636
HAH_RS04985	NC_015948.1	970385	970831	+	447	828	1872	1840	1484	1697	1255	2002	1550	1477	1691	699	1255	1451	1259	1133	1689	1399	1311	1976	1724
HAH_RS04990	NC_015948.1	970801	971850	-	1050	1463	2964	2723	1664	2642	1546	2462	2098	1222	1432	585	1591	1836	1413	1265	1699	2068	1695	2531	2875
HAH_RS04995	NC_015948.1	972009	972743	+	735	288	607	518	394	402	353	575	429	354	339	148	388	453	340	321	514	419	400	606	524
HAH_RS05000	NC_015948.1	972869	973063	+	195	792	1478	1609	2386	1075	2034	33387	22669	1446	2839	690	7109	11506	6190	4287	9097	8758	9615	13026	1471
HAH_RS05005	NC_015948.1	973077	973298	-	222	113	231	190	184	268	115	338	337	109	290	62	186	238	218	164	228	204	230	279	229
HAH_RS05010	NC_015948.1	973473	974324	-	852	1708	3720	3304	9061	3768	8707	2747	2743	7092	9547	4084	2361	2984	3160	3348	2808	3101	2834	3758	3436
HAH_RS05015	NC_015948.1	974415	974846	+	432	518	966	1032	545	1252	526	976	889	580	728	270	587	711	663	715	724	640	636	845	1040
HAH_RS05020	NC_015948.1	974869	975963	-	1095	632	1325	912	1554	773	1854	937	896	933	1233	558	602	807	592	429	686	705	727	915	995
HAH_RS05025	NC_015948.1	976087	976566	+	480	3332	6469	4827	2439	3804	2332	6579	4913	2745	3214	1146	3206	3531	2652	1965	3770	3556	3395	4663	5993
HAH_RS05030	NC_015948.1	976606	977784	+	1179	2511	4544	4572	2321	6656	2076	3138	3406	3726	2473	1279	2231	2862	2830	3061	2397	2689	2547	2974	4998
HAH_RS05035	NC_015948.1	977781	978746	+	966	12490	26914	23330	9014	19410	8633	18282	14850	10252	9387	4167	12998	16695	14653	13035	17350	14452	13854	19096	24441
HAH_RS05040	NC_015948.1	978850	979281	+	432	493	994	922	410	1184	332	1467	1475	274	507	151	849	1291	1166	904	1130	1102	1005	1326	1038
HAH_RS05045	NC_015948.1	979319	980404	-	1086	623	1184	1233	1109	1824	1111	1206	1143	636	968	341	882	1108	1001	854	1082	1125	1059	1310	1158
HAH_RS05050	NC_015948.1	980550	980813	+	264	307	582	420	578	379	576	896	819	259	437	172	421	494	406	317	680	504	455	647	566
HAH_RS05055	NC_015948.1	980959	983544	+	2586	4768	7504	6754	14981	19555	15800	10693	12272	10685	18320	5454	5705	7855	5739	3454	6293	7853	7317	8406	7332
HAH_RS05060	NC_015948.1	983595	984314	+	720	10545	29710	26919	10853	7415	10141	14141	8911	6762	8390	3933	16316	13682	14168	18764	20650	13913	13408	20002	23831
HAH_RS05065	NC_015948.1	984311	985660	-	1350	6014	11706	9367	7509	8428	7714	5870	4899	4083	4886	2279	5626	5992	5023	4353	5996	5944	5003	7062	9596
HAH_RS05070	NC_015948.1	985987	986229	+	243	196	313	307	454	355	446	694	516	327	614	194	391	424	388	301	477	411	337	558	304
HAH_RS05075	NC_015948.1	986406	988133	-	1728	16009	32856	34572	45171	16385	52498	31991	48942	36508	37040	18626	30000	38981	49688	45426	27504	38223	34487	40264	26827
HAH_RS05080	NC_015948.1	988254	989219	+	966	569	1086	1083	1670	2075	1519	1481	1632	1253	1563	696	943	1347	1157	1051	1212	1146	1012	1412	1086
HAH_RS05085	NC_015948.1	989318	990421	+	1104	581	1028	1322	1001	1927	574	1034	1164	739	1030	361	647	1019	949	927	717	888	835	1002	1172
HAH_RS05090	NC_015948.1	990428	991429	-	1002	1132	2300	2500	3041	1998	2433	2015	1975	4022	4335	1865	1667	2077	1843	1672	1704	2148	1810	2517	2316
HAH_RS05095	NC_015948.1	991536	991787	-	252	614	1133	976	1230	693	1075	2839	1562	677	1294	431	1186	1399	809	535	1530	1258	1166	1791	1189
HAH_RS05100	NC_015948.1	991879	993246	-	1368	1348	2916	2518	1126	2039	963	2308	1692	904	971	423	1654	1901	1697	1548	2114	2048	1823	2614	2567
HAH_RS05105	NC_015948.1	993427	993699	+	273	415	834	992	652	1609	677	1085	830	927	1212	457	1028	1239	1369	1284	1384	1188	1008	1488	948
HAH_RS05110	NC_015948.1	993777	994604	-	828	388	814	729	1346	570	1057	958	758	771	1223	513	674	726	682	530	796	761	685	1012	733
HAH_RS05115	NC_015948.1	994870	995688	+	819	10683	24508	15381	3658	4375	1730	55845	34365	4923	2292	1609	50985	43691	28324	16720	50659	55333	46164	76419	18054
HAH_RS05120	NC_015948.1	995685	996008	-	324	654	1421	1661	1019	2080	850	1586	1585	566	1270	357	874	1055	1201	1170	1282	964	1066	1297	1575
HAH_RS05125	NC_015948.1	996041	996676	-	636	330	662	554	1295	710	1047	479	541	820	1218	418	404	410	365	329	427	415	426	581	653
HAH_RS05130	NC_015948.1	996669	997541	-	873	689	1167	1099	2817	1265	1874	1069	1207	1384	2484	716	779	857	726	711	749	844	838	1082	1226
HAH_RS05135	NC_015948.1	997675	998511	-	837	1854	3878	3541	4278	3264	3703	3147	2710	3110	4439	1636	2471	2501	2044	1859	3022	2704	2382	3466	3611
HAH_RS05140	NC_015948.1	998593	999474	-	882	524	1018	760	1573	562	1852	1368	1226	1279	1235	664	734	901	609	511	848	845	659	1142	857
HAH_RS05145	NC_015948.1	999467	1000351	-	885	764	1458	1170	2030	785	2217	1892	1916	1486	1450	837	992	1148	879	672	1053	1197	1090	1627	1283
HAH_RS05150	NC_015948.1	1000355	1001842	-	1488	2209	4526	3584	7432	2185	7514	6011	5201	5947	5206	2842	2638	3365	2416	1859	2912	3333	2934	4271	3718
HAH_RS05155	NC_015948.1	1001977	1003152	+	1176	3092	6547	5625	6314	5310	6280	5160	4548	5919	5800	2836	4030	4512	4114	3884	5126	4868	4234	5983	5624
HAH_RS19885	NC_015948.1	1003443	1003607	+	165	141	274	143	325	135	421	114	108	234	591	171	64	92	65	69	36	77	77	104	364
HAH_RS05160	NC_015948.1	1003652	1003861	+	210	406	701	666	583	873	493	1089	960	380	871	198	751	813	740	667	951	913	803	1102	756
HAH_RS05165	NC_015948.1	1003881	1004291	-	411	958	1646	1411	1074	1356	782	3112	2294	552	1113	355	1454	1545	1086	693	1770	1533	1275	2014	1651
HAH_RS05170	NC_015948.1	1004339	1005019	-	681	956	1677	1524	1912	1558	1641	2361	2239	1078	2005	673	1341	1838	1453	1328	1934	1681	1532	2097	1576
HAH_RS05175	NC_015948.1	1005141	1005827	+	687	583	1242	1145	1501	795	1392	1359	1124	872	1550	579	747	868	669	563	971	870	900	1097	1083
HAH_RS05180	NC_015948.1	1005974	1006252	+	279	247	531	483	2509	423	2498	689	938	1644	2711	896	283	412	307	325	399	358	374	497	653
HAH_RS05185	NC_015948.1	1006363	1006665	-	303	597	1207	977	1281	646	1233	1781	1496	743	1671	484	860	1094	733	630	1301	1081	980	1433	986
HAH_RS05190	NC_015948.1	1006793	1008037	+	1245	27322	52457	61188	67867	52713	81820	48899	57060	34520	54195	24314	43875	55911	47924	49015	45253	51703	54711	65530	48415
HAH_RS05195	NC_015948.1	1008383	1010140	+	1758	21573	35981	44260	28242	36037	34315	32868	42277	14945	17900	9787	27235	43697	37912	39290	24826	36864	40405	44370	34455
HAH_RS05200	NC_015948.1	1010155	1010742	+	588	6009	10964	12643	7669	10971	9875	8000	10409	4346	5137	2725	8477	10840	11034	12104	6841	10347	12103	13028	10389
HAH_RS05205	NC_015948.1	1010735	1011766	+	1032	9260	17120	20687	12972	16917	15108	12293	15450	6748	8108	4452	12965	18612	18681	19451	12663	16808	18090	20432	16623
HAH_RS05210	NC_015948.1	1011759	1012025	+	267	2981	5626	6446	3733	5182	4843	4080	5020	2245	2343	1308	4499	5195	6178	6455	4340	5472	6165	6825	5818
HAH_RS05215	NC_015948.1	1012022	1013443	+	1422	15826	28411	34108	21427	28459	25234	19007	24665	11667	14170	7598	21452	30850	30962	32603	18768	27348	30772	34051	27811
HAH_RS05220	NC_015948.1	1013440	1014084	+	645	7646	13143	16130	9790	14820	11521	8938	12166	5174	6933	3604	10674	14322	14694	15877	9707	14190	14919	16998	13558
HAH_RS05225	NC_015948.1	1014250	1014990	+	741	923	1521	1714	2012	2262	1466	2016	2582	1085	1788	612	1145	1703	1580	1611	1255	1546	1651	1836	1911
HAH_RS05230	NC_015948.1	1015460	1016443	+	984	5042	9801	9953	12293	7238	12094	10753	9332	8904	12762	4808	6386	7751	7404	9487	9631	9160	7933	11012	9069
HAH_RS05235	NC_015948.1	1016532	1017293	+	762	780	1537	1449	1031	1654	721	1381	1410	827	1162	382	669	778	721	2362	965	926	863	1019	1536
HAH_RS05240	NC_015948.1	1017290	1018198	+	909	923	1813	1606	1029	1760	756	1064	1108	967	1241	440	658	845	737	2731	866	903	774	1039	1822
HAH_RS05245	NC_015948.1	1018253	1019380	-	1128	13754	27952	19028	7417	7741	5969	8219	6607	8786	7422	4368	8149	9030	7257	26095	10341	9947	8085	12052	21515
HAH_RS05250	NC_015948.1	1019384	1020166	-	783	16929	34274	25117	9042	9991	7149	14058	10231	10089	8635	5025	11328	12235	9959	36547	13631	13039	10788	16629	27010
HAH_RS19890	NC_015948.1	1020286	1020429	+	144	875	2299	1430	783	396	552	4596	2340	598	1368	301	2144	1897	1564	1508	2961	1750	1952	2979	1942
HAH_RS05255	NC_015948.1	1020426	1020875	-	450	1109	2392	1994	1344	1818	1350	2415	2039	1205	1475	535	1576	1604	1495	1379	2131	1830	1695	2347	2258
HAH_RS05260	NC_015948.1	1021052	1022335	+	1284	4576	9089	8510	8482	5979	6955	5575	4754	7124	8137	3335	4609	4667	4295	4163	4974	5206	4443	6176	9647
HAH_RS05265	NC_015948.1	1022389	1022784	-	396	4612	9634	9788	3009	11376	2429	6473	5008	5280	6330	2119	8195	8599	8677	7981	10751	9149	9031	12108	10259
HAH_RS05270	NC_015948.1	1022889	1023260	+	372	552	1046	889	1618	731	1633	1772	1393	952	1614	595	707	950	708	612	1018	884	778	1140	955
HAH_RS05275	NC_015948.1	1023313	1024167	+	855	621	1277	926	842	372	573	2636	1959	546	706	271	916	1159	630	380	1194	1164	1007	1559	1001
HAH_RS05280	NC_015948.1	1024240	1024899	-	660	792	1709	1424	863	7452	841	357	436	1008	1139	385	764	955	1213	1355	699	801	779	951	1308
HAH_RS05285	NC_015948.1	1025027	1025575	+	549	248	432	512	524	825	513	586	543	435	736	255	366	454	497	532	494	441	469	495	602
HAH_RS05290	NC_015948.1	1025646	1026506	+	861	1189	2329	2325	2574	2741	1785	2656	2258	2296	2763	1086	1492	1716	1501	1388	1504	1842	1593	2272	2633
HAH_RS05295	NC_015948.1	1026783	1028420	+	1638	850	1682	1583	1949	1084	1573	1070	1015	2079	1633	768	769	887	720	769	815	1065	903	1240	1707
HAH_RS05300	NC_015948.1	1028489	1030498	-	2010	1975	4610	3289	570	651	228	705	433	623	414	275	556	488	441	346	626	625	443	921	4004
HAH_RS05305	NC_015948.1	1030595	1031761	-	1167	1468	3536	2379	474	525	185	639	427	546	352	205	534	481	472	463	588	597	535	825	2913
HAH_RS05310	NC_015948.1	1032425	1033783	-	1359	3961	7702	7962	5042	8291	4647	4060	4187	5637	5256	2361	3608	4638	4310	4231	4377	4478	3993	5385	8641
HAH_RS05315	NC_015948.1	1033880	1034401	-	522	495	1040	1065	377	1350	294	836	920	609	628	195	572	691	645	604	745	637	654	817	1178
HAH_RS05320	NC_015948.1	1034618	1035571	+	954	2050	4430	4393	2280	2963	2276	3606	2421	2443	2515	1205	3202	3795	3163	2682	3885	3464	3030	4787	4143
HAH_RS05325	NC_015948.1	1035602	1036639	-	1038	9975	17703	16569	22511	29894	23365	11370	14337	28751	27029	14181	8688	11219	8216	5533	9655	10971	9489	13133	19983
HAH_RS05330	NC_015948.1	1036708	1037142	-	435	408	895	882	2101	977	1751	1978	1671	1148	1997	706	776	999	996	955	1089	915	977	1099	1195
HAH_RS05335	NC_015948.1	1037201	1039426	-	2226	1338	2754	2301	561	1596	527	2842	2479	863	654	355	2618	2864	3672	2532	2814	2897	2384	3041	2328
HAH_RS05340	NC_015948.1	1039531	1040571	+	1041	2650	5168	5675	5725	8391	5667	5071	6996	6104	5724	2771	4909	6060	9092	8467	4963	6486	5432	6285	5744
HAH_RS05345	NC_015948.1	1040584	1041273	+	690	973	2079	2055	2169	3920	2080	2231	3299	1820	2273	855	2277	2964	4512	3920	2888	2840	2471	3060	2556
HAH_RS05350	NC_015948.1	1041475	1041545	+	71	1051	2343	2706	3001	4418	2338	1861	1952	2893	5819	1243	1589	1726	1933	2319	2540	1619	1797	2478	2963
HAH_RS05355	NC_015948.1	1041639	1041953	-	315	60	146	155	193	286	205	121	144	234	314	125	89	101	113	146	119	97	125	133	174
HAH_RS05360	NC_015948.1	1042348	1043697	+	1350	711	1438	1416	2362	1393	2401	993	996	2235	2644	1082	740	814	703	682	868	756	741	1006	1548
HAH_RS05365	NC_015948.1	1043698	1044084	-	387	173	332	232	158	148	131	968	436	113	193	59	268	274	141	80	368	297	250	383	297
HAH_RS05370	NC_015948.1	1044215	1044886	+	672	229	415	350	178	280	138	440	312	168	173	82	358	325	306	221	392	400	361	514	412
HAH_RS05375	NC_015948.1	1045056	1046993	+	1938	15826	31946	22938	24290	13802	28385	15165	10786	28716	23892	12304	17671	15024	12712	9762	20147	18237	15815	23333	25261
