# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "00_genome/genomic.gff" "-o" "HCA_featureCounts_2022.txt" "03_aligned_sorted/10_WT_B_S18_sorted.bam" "03_aligned_sorted/11_WT_C_S19_sorted.bam" "03_aligned_sorted/12_WT_D_S20_sorted.bam" "03_aligned_sorted/13_TRMB_A_S21_sorted.bam" "03_aligned_sorted/14_TRMB_B_S22_sorted.bam" "03_aligned_sorted/15_TRMB_C_S23_sorted.bam" "03_aligned_sorted/16_TRMB_D_S24_sorted.bam" "03_aligned_sorted/17_WT_ref_S25_sorted.bam" "03_aligned_sorted/1_WT_A_S9_sorted.bam" "03_aligned_sorted/2_WT_B_S10_sorted.bam" "03_aligned_sorted/3_WT_C_S11_sorted.bam" "03_aligned_sorted/4_WT_D_S12_sorted.bam" "03_aligned_sorted/5_TRMB_A_S13_sorted.bam" "03_aligned_sorted/6_TRMB_B_S14_sorted.bam" "03_aligned_sorted/7_TRMB_C_S15_sorted.bam" "03_aligned_sorted/8_TRMB_D_S16_sorted.bam" "03_aligned_sorted/9_WT_A_S17_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	03_aligned_sorted/10_WT_B_S18_sorted.bam	03_aligned_sorted/11_WT_C_S19_sorted.bam	03_aligned_sorted/12_WT_D_S20_sorted.bam	03_aligned_sorted/13_TRMB_A_S21_sorted.bam	03_aligned_sorted/14_TRMB_B_S22_sorted.bam	03_aligned_sorted/15_TRMB_C_S23_sorted.bam	03_aligned_sorted/16_TRMB_D_S24_sorted.bam	03_aligned_sorted/17_WT_ref_S25_sorted.bam	03_aligned_sorted/1_WT_A_S9_sorted.bam	03_aligned_sorted/2_WT_B_S10_sorted.bam	03_aligned_sorted/3_WT_C_S11_sorted.bam	03_aligned_sorted/4_WT_D_S12_sorted.bam	03_aligned_sorted/5_TRMB_A_S13_sorted.bam	03_aligned_sorted/6_TRMB_B_S14_sorted.bam	03_aligned_sorted/7_TRMB_C_S15_sorted.bam	03_aligned_sorted/8_TRMB_D_S16_sorted.bam	03_aligned_sorted/9_WT_A_S17_sorted.bam
HAH_RS03390	NC_015948.1	661542	662510	+	969	513	477	376	206	256	171	187	1529	1161	1350	838	835	1294	957	1273	1107	614
HAH_RS03395	NC_015948.1	662521	663195	-	675	329	422	241	216	215	180	264	553	309	294	225	211	324	303	396	336	374
HAH_RS03400	NC_015948.1	663270	664094	-	825	1132	1506	873	984	997	907	1106	1311	1211	1045	699	771	980	1020	1034	1083	1240
HAH_RS03405	NC_015948.1	664178	665143	-	966	178	157	117	257	143	202	300	177	125	108	107	110	103	98	115	106	143
HAH_RS03410	NC_015948.1	665348	666322	-	975	1747	2371	1223	1130	1079	956	1263	2434	1643	1514	1233	1025	1360	1542	1639	1717	1882
HAH_RS19845	NC_015948.1	666435	666599	+	165	533	404	308	148	170	113	118	449	246	192	95	130	161	204	133	270	418
HAH_RS03415	NC_015948.1	666728	667048	+	321	353	282	319	301	234	191	253	755	313	281	174	187	263	272	293	366	372
HAH_RS03420	NC_015948.1	667091	668830	+	1740	3967	5541	2823	3170	2693	2560	3259	7959	4995	5111	3356	2873	5047	4608	4599	4638	4320
HAH_RS03425	NC_015948.1	668841	669539	-	699	1811	2314	1181	958	829	771	921	2898	2462	2214	1619	1520	2282	2126	2456	2226	1951
HAH_RS03430	NC_015948.1	669631	670194	-	564	6789	7287	4816	5375	5222	5069	6622	8627	6739	5822	3825	4326	5773	6173	6141	6476	7707
HAH_RS03435	NC_015948.1	670242	670877	-	636	2005	3000	1401	1112	1113	831	1147	3102	3600	2976	2619	1783	2667	3046	2823	3073	2410
HAH_RS03440	NC_015948.1	671071	671484	+	414	184	176	124	148	118	100	162	216	190	148	115	104	124	116	147	164	188
HAH_RS03445	NC_015948.1	671597	671902	+	306	223	293	217	126	123	83	93	571	253	237	182	171	218	191	203	190	242
HAH_RS03450	NC_015948.1	671903	672976	+	1074	250	153	194	174	155	144	144	412	177	177	144	124	180	191	145	170	316
HAH_RS03455	NC_015948.1	673042	673689	+	648	2546	4617	1664	3121	2906	2325	3400	2871	4804	4591	2428	2055	4993	2746	3318	2227	2593
HAH_RS03460	NC_015948.1	673708	674868	-	1161	208	182	128	48	40	33	55	436	192	225	200	217	183	143	220	191	211
HAH_RS03465	NC_015948.1	674870	675103	-	234	53	69	39	17	21	15	22	62	95	92	88	84	99	80	78	84	55
HAH_RS03470	NC_015948.1	675230	675526	-	297	646	692	498	266	277	211	313	636	643	561	477	420	536	511	588	581	618
HAH_RS03475	NC_015948.1	675555	675833	-	279	1112	1476	792	467	486	352	517	1270	1418	1253	1131	824	1045	958	1289	1177	1231
HAH_RS03480	NC_015948.1	676037	677158	-	1122	6300	8906	4089	4078	3946	3943	4671	9589	8876	8333	6466	5829	7861	7418	8724	8078	7734
HAH_RS03485	NC_015948.1	677626	679242	+	1617	202	618	149	62	44	60	77	1156	146	126	120	92	139	257	185	213	304
HAH_RS03490	NC_015948.1	679530	680693	-	1164	1560	2707	789	574	682	564	650	634	486	482	427	334	425	653	496	675	1388
HAH_RS19850	NC_015948.1	681130	681285	-	156	484	383	242	212	203	138	225	593	564	551	351	418	481	369	431	428	475
HAH_RS03495	NC_015948.1	681332	682099	-	768	4770	5916	3326	3021	3012	2794	3489	8063	6308	5842	3920	3761	5585	4757	4256	5460	5693
HAH_RS03500	NC_015948.1	682238	682918	+	681	194	184	206	154	158	155	153	282	258	248	209	152	235	193	257	224	216
HAH_RS19855	NC_015948.1	682956	683111	+	156	859	668	723	622	654	337	580	1756	1379	1243	727	955	1039	726	1196	1135	819
HAH_RS03505	NC_015948.1	683150	684403	-	1254	988	1085	844	872	752	673	1018	1312	1141	1018	650	748	1033	972	1021	1049	1043
HAH_RS03510	NC_015948.1	684487	685659	+	1173	2707	3004	2022	2263	2031	2027	2967	3140	4231	3600	2375	2323	3549	2706	2310	3387	3596
HAH_RS03515	NC_015948.1	685748	686761	+	1014	908	1149	608	510	473	461	541	1350	1520	1432	1085	961	1296	1242	1375	1225	1026
HAH_RS03520	NC_015948.1	686857	687276	-	420	914	1283	548	560	551	493	616	672	738	723	548	495	651	699	680	747	1036
HAH_RS03525	NC_015948.1	687598	688488	+	891	1132	1847	603	508	593	522	607	1221	1011	959	799	670	884	1017	1211	1139	1198
HAH_RS03530	NC_015948.1	688507	689130	-	624	3228	3914	2636	1311	1223	1077	1281	4150	3566	3815	2624	2604	3770	3338	3616	3339	3495
HAH_RS03535	NC_015948.1	689228	689986	-	759	6624	7514	4766	3337	3377	3052	3657	10979	10924	10998	7028	6978	10966	8952	10599	9960	7336
HAH_RS03540	NC_015948.1	689992	690174	-	183	2296	2547	1837	1593	1509	1236	1772	3219	3982	3071	2096	2181	2924	2453	2930	3334	2409
HAH_RS03545	NC_015948.1	690205	691005	-	801	30376	37961	22453	23015	22810	21563	26439	46600	47510	42409	25933	29081	43413	37849	40253	39888	34948
HAH_RS03550	NC_015948.1	691007	691180	-	174	5287	4822	4099	3892	3834	3124	4580	6437	6532	5346	2923	4434	5021	4355	5096	5953	5720
HAH_RS03555	NC_015948.1	691183	691461	-	279	8167	9171	6080	6107	6160	4856	6780	12046	12573	9889	6233	7135	9795	8054	9086	9688	8885
HAH_RS03560	NC_015948.1	691590	691856	-	267	154	117	92	537	385	409	574	121	135	91	117	71	89	83	99	122	156
HAH_RS03565	NC_015948.1	692043	692315	+	273	3197	2414	2316	1944	1825	1300	2095	3464	2897	2921	1680	2728	2731	2437	2721	2903	3573
HAH_RS03570	NC_015948.1	692376	694694	-	2319	3211	4626	3017	2835	2333	2636	3249	5547	5001	4622	2904	2992	4912	4683	4356	5297	3657
HAH_RS03575	NC_015948.1	694812	695579	+	768	930	1152	829	895	774	830	1044	1853	1616	1620	1028	1030	1666	1408	1407	1456	949
HAH_RS03580	NC_015948.1	695579	696061	+	483	699	731	500	476	422	407	529	1057	963	1056	677	733	1081	817	988	982	686
HAH_RS03585	NC_015948.1	696136	696210	+	75	618	327	477	341	354	259	362	303	1005	829	425	780	697	557	688	801	758
HAH_RS03590	NC_015948.1	696357	696821	-	465	861	1248	539	116	130	131	128	1564	961	752	568	602	644	759	857	921	1022
HAH_RS03595	NC_015948.1	696915	697484	-	570	4635	5517	3116	2932	3175	2984	3639	9052	7875	6924	4039	5480	7779	6517	7284	7135	5428
HAH_RS03600	NC_015948.1	697529	699424	-	1896	803	813	772	641	599	669	686	2461	823	1016	614	667	927	1030	1132	1058	790
HAH_RS03605	NC_015948.1	699421	699909	-	489	317	280	267	274	260	250	279	1220	367	362	312	207	334	293	401	327	312
HAH_RS03610	NC_015948.1	700000	700515	-	516	6245	6802	5906	5511	6114	5136	6050	39359	7254	5763	4287	4458	5331	4448	6923	5640	8134
HAH_RS03615	NC_015948.1	700710	702494	-	1785	2990	4399	2016	1463	1175	1260	1610	6375	4881	4728	2813	2827	5025	5262	5406	5615	3637
HAH_RS03620	NC_015948.1	702494	704185	-	1692	3052	4075	2038	1703	1436	1464	1657	6311	4484	4667	2819	2845	4818	4886	5283	5275	3408
HAH_RS03625	NC_015948.1	704182	705681	-	1500	3080	3474	1996	1769	1491	1271	1761	4793	3982	4358	2742	2794	4620	4168	4472	4683	3550
HAH_RS03630	NC_015948.1	705674	706030	-	357	574	922	385	439	380	288	484	1037	1101	992	529	513	1035	897	937	979	724
HAH_RS03635	NC_015948.1	706030	706503	-	474	1287	1528	986	988	930	882	1162	1875	1887	1943	1262	1210	1994	1752	1851	1891	1559
HAH_RS03640	NC_015948.1	706500	707045	-	546	1573	1640	1145	1239	1091	1025	1327	2050	2170	2095	1403	1420	2226	1933	2157	2183	1708
HAH_RS03645	NC_015948.1	707042	707362	-	321	786	763	583	478	459	385	496	1101	953	1081	618	793	939	816	1069	1033	816
HAH_RS03650	NC_015948.1	707359	707634	-	276	698	764	488	506	475	431	544	961	917	1005	685	664	960	885	1005	1100	700
HAH_RS03655	NC_015948.1	707627	708670	-	1044	3417	3949	2543	2884	2579	2336	3105	6300	5163	5321	3676	3175	5536	4711	5685	5535	3840
HAH_RS03660	NC_015948.1	708822	709988	-	1167	1888	2089	1447	1486	1234	1383	1605	2260	2020	1793	1269	1413	1705	1699	1615	1795	1841
HAH_RS03665	NC_015948.1	710039	711604	-	1566	1669	2521	1005	586	514	772	584	3364	1666	1660	1196	973	1524	2340	1851	2459	1559
HAH_RS03670	NC_015948.1	711601	712926	-	1326	1988	3311	1138	701	676	852	673	3899	2235	2140	1766	1194	1998	2975	2455	3023	1771
HAH_RS03675	NC_015948.1	712923	713666	-	744	1114	1998	698	418	387	503	394	2541	1434	1289	1092	726	1218	1818	1443	1845	1188
HAH_RS03680	NC_015948.1	713666	714775	-	1110	1859	2861	1067	512	541	646	559	3888	1827	1865	1612	1091	1525	2626	2151	2748	1748
HAH_RS03685	NC_015948.1	714877	715941	+	1065	778	920	503	351	377	440	387	1244	659	710	526	438	584	846	711	1033	785
HAH_RS03690	NC_015948.1	715933	716673	-	741	880	984	590	471	456	446	540	2714	1344	1369	935	983	1378	1181	1463	1283	1084
HAH_RS03695	NC_015948.1	716829	718043	+	1215	13731	18870	12476	12592	11692	11346	14057	17657	20762	16444	13258	11044	16345	15097	18949	16408	15892
HAH_RS03700	NC_015948.1	718172	718753	+	582	813	932	759	634	577	447	678	1856	1078	961	611	652	969	829	1103	1069	890
HAH_RS03705	NC_015948.1	718819	720042	+	1224	1453	1863	1151	1061	1013	1000	1214	1462	1363	1227	1053	841	1160	1215	1243	1227	1490
HAH_RS03710	NC_015948.1	720064	721089	+	1026	711	785	595	478	470	440	462	1495	919	950	666	663	936	831	965	912	712
HAH_RS03715	NC_015948.1	721123	721581	+	459	1256	1460	915	573	604	520	640	1329	1019	1060	751	784	913	934	1062	1016	1277
HAH_RS03720	NC_015948.1	721654	722133	+	480	332	518	236	146	149	105	145	333	304	299	346	200	264	276	346	335	312
HAH_RS03725	NC_015948.1	722154	723101	-	948	1600	2019	1213	680	775	688	969	1639	2024	1718	1682	1150	1475	1407	1636	1683	1844
HAH_RS03730	NC_015948.1	723165	725009	-	1845	13699	19254	10099	9155	9620	10028	11103	15117	11910	9333	7473	7055	8660	11802	12094	12321	14970
HAH_RS03735	NC_015948.1	725149	725454	-	306	2076	1593	1830	1529	1693	1733	2217	2238	1396	1306	939	575	1060	667	601	1092	2779
HAH_RS03740	NC_015948.1	725457	727007	-	1551	16978	19867	11184	12871	13930	14039	16207	20176	9382	9402	6281	6103	8186	9815	9803	9300	19096
HAH_RS03745	NC_015948.1	727149	727772	+	624	3351	4214	2922	2760	2595	2164	3041	5544	4885	6156	3814	3658	5782	4831	6007	5449	3580
HAH_RS03750	NC_015948.1	727819	728610	-	792	1245	1507	726	405	431	340	421	2388	2409	2393	1525	1560	2226	1788	1935	1959	1462
HAH_RS03755	NC_015948.1	728835	729815	+	981	6231	6150	3054	8886	5823	5891	8326	4375	4669	4239	2379	2769	3888	3607	4251	4893	6937
HAH_RS03765	NC_015948.1	730332	731669	-	1338	1654	1328	1278	1476	1275	1657	1603	8309	1796	2110	1287	1353	1971	2050	3474	2672	1718
HAH_RS03770	NC_015948.1	731985	732281	+	297	85	105	52	24	47	34	47	81	95	81	57	40	61	71	68	91	84
HAH_RS03775	NC_015948.1	732437	733147	-	711	97	125	68	30	29	27	21	113	55	59	68	39	35	43	72	52	92
HAH_RS03780	NC_015948.1	733242	734198	-	957	784	910	523	527	567	641	773	1185	540	550	413	376	492	457	499	559	877
HAH_RS03785	NC_015948.1	734598	736799	+	2202	1518	2468	1069	1349	1385	1462	1667	4287	1449	1349	1077	774	1276	1564	1378	1462	1692
HAH_RS03790	NC_015948.1	736802	737512	+	711	449	497	287	353	310	300	351	994	331	322	211	202	295	358	323	371	453
HAH_RS03795	NC_015948.1	737796	738128	-	333	265	244	256	200	183	175	209	369	259	237	252	178	174	204	328	282	288
HAH_RS03800	NC_015948.1	738272	739231	-	960	12309	14188	11483	7942	7991	7862	8380	19278	12489	10371	8251	7903	10686	10827	12036	11420	13782
HAH_RS03805	NC_015948.1	739497	740021	+	525	881	902	513	513	571	474	559	1265	1217	1149	608	871	1106	1070	913	1145	1086
HAH_RS03810	NC_015948.1	740018	740743	+	726	1145	1438	786	879	835	860	1065	2098	2056	1814	1084	1286	2002	1835	1661	1896	1495
HAH_RS03815	NC_015948.1	740747	743167	-	2421	392	425	227	197	158	174	207	513	370	391	264	288	367	332	331	395	428
HAH_RS03820	NC_015948.1	743521	744009	+	489	75	97	65	36	45	43	52	69	58	58	42	53	52	56	76	55	77
HAH_RS03825	NC_015948.1	744071	744490	+	420	89	111	73	49	45	17	60	97	83	69	47	43	61	90	57	68	97
HAH_RS03830	NC_015948.1	744487	746358	-	1872	7689	8875	5466	8560	7843	8808	9891	10621	10794	9957	6343	6926	10248	9726	9389	9649	8015
HAH_RS03835	NC_015948.1	746447	747241	+	795	287	408	258	284	240	231	269	466	418	357	321	225	326	330	357	399	335
HAH_RS03840	NC_015948.1	747276	747572	-	297	21	20	8	7	4	9	4	28	19	26	21	10	17	8	24	15	22
HAH_RS03845	NC_015948.1	747730	748230	+	501	15	29	7	9	16	9	11	29	30	16	20	14	23	13	22	15	17
HAH_RS03850	NC_015948.1	748453	749859	-	1407	14764	20078	8244	9613	9703	9964	12449	17276	13429	11868	7683	7896	11076	13352	11746	12970	17023
HAH_RS03855	NC_015948.1	750426	751490	+	1065	3594	4955	2801	5826	5939	5683	7181	21328	17855	15232	9230	10288	15657	20448	15387	17794	5082
HAH_RS03860	NC_015948.1	751487	752416	+	930	1355	1915	1231	3336	3327	3379	4139	11043	10220	8418	5019	5619	8502	11727	8081	10438	2112
HAH_RS03865	NC_015948.1	752434	753573	+	1140	2068	3072	1876	4941	5117	5091	5843	16003	16267	12871	7852	9246	13788	17852	12404	14905	3463
HAH_RS03870	NC_015948.1	753632	754612	-	981	3013	3644	2441	1696	1655	1523	1857	4156	4156	3895	2578	2797	4062	3660	3796	3698	3535
HAH_RS03875	NC_015948.1	754693	755250	-	558	942	971	653	417	442	350	430	996	1104	1099	811	775	1112	903	1003	1019	1101
HAH_RS03880	NC_015948.1	755361	755774	+	414	666	526	429	358	340	238	400	633	557	515	297	419	469	441	504	563	640
HAH_RS19860	NC_015948.1	755810	755977	-	168	862	980	548	602	586	407	675	1804	1140	943	673	643	877	615	877	858	905
HAH_RS03885	NC_015948.1	756456	756689	+	234	5675	7478	4899	6480	6547	6292	8517	1856	7642	4572	2757	3206	4354	4496	4003	6292	7006
HAH_RS03890	NC_015948.1	756797	757804	+	1008	3462	4632	2632	2107	2422	2029	2091	3829	5589	4579	3555	3098	4254	4206	5065	4693	3892
HAH_RS03895	NC_015948.1	757819	758931	-	1113	2523	2611	1873	2814	2424	2542	3269	5348	3626	3662	2006	2244	3580	3462	3407	3708	2657
HAH_RS03900	NC_015948.1	759007	759234	-	228	338	270	239	237	238	235	275	551	353	295	200	276	264	286	349	388	400
HAH_RS03905	NC_015948.1	759231	759509	-	279	355	369	245	290	327	251	292	607	381	348	222	321	335	354	382	408	358
HAH_RS03910	NC_015948.1	759632	760402	+	771	2095	2365	2074	2000	2013	1886	2092	2755	2602	2323	1607	1527	2126	1909	2476	2444	2496
HAH_RS03915	NC_015948.1	761292	762056	-	765	8756	9535	7369	9806	9307	9432	11738	18315	15498	14285	8610	9517	14561	12810	14354	14277	10548
HAH_RS03920	NC_015948.1	762199	763587	+	1389	5813	6045	5183	7221	6157	6382	7896	11663	6998	6752	4040	4558	7039	6779	6330	7542	6479
HAH_RS03925	NC_015948.1	763584	764285	+	702	969	968	846	1239	948	1063	1329	2004	1067	1258	732	724	1133	1255	1187	1418	984
HAH_RS03930	NC_015948.1	764317	764556	+	240	373	411	285	279	291	224	345	387	288	274	193	161	234	209	257	271	417
HAH_RS03935	NC_015948.1	764830	765771	+	942	2355	2676	1723	1763	1536	1399	1838	4327	2968	3005	1854	2129	3052	2862	3036	3264	2615
HAH_RS03940	NC_015948.1	765768	766508	+	741	1112	1241	784	655	556	575	729	2239	1580	1563	825	1121	1539	1581	1582	1746	1183
HAH_RS03945	NC_015948.1	766525	767064	-	540	74	84	56	29	38	38	43	1008	79	106	67	62	58	83	92	97	94
HAH_RS03950	NC_015948.1	767226	768218	+	993	1026	1382	739	964	911	1048	1175	2154	1564	1627	1023	947	1572	1400	1534	1616	1158
HAH_RS03955	NC_015948.1	768218	768964	+	747	805	1053	609	815	858	984	978	1572	1259	1172	795	803	1278	1089	1021	1328	964
HAH_RS03960	NC_015948.1	768937	769800	+	864	1063	1189	682	843	862	801	881	1746	1460	1523	913	913	1423	1224	1143	1388	1185
HAH_RS03965	NC_015948.1	769797	770423	+	627	1020	1121	740	633	664	650	702	1668	1486	1419	946	868	1315	1222	1024	1217	1206
HAH_RS03970	NC_015948.1	770614	770805	+	192	3427	3305	2720	2530	2667	1677	2703	4639	6770	4353	2484	3222	4008	2919	4413	4615	4035
HAH_RS03975	NC_015948.1	770868	771929	-	1062	5193	6418	4299	4340	4189	4156	4686	12035	7866	7098	4813	4837	7388	6281	6575	6774	6284
HAH_RS03980	NC_015948.1	772058	772357	-	300	33	39	41	28	28	14	19	39	18	21	18	11	11	12	20	14	14
HAH_RS03985	NC_015948.1	772576	772660	+	85	1245	1156	902	502	532	342	508	1051	1691	829	463	679	766	663	691	1142	1310
HAH_RS03990	NC_015948.1	772682	773215	+	534	21112	33697	12288	4989	5019	3772	4591	45123	49946	40976	28124	28281	41694	37402	42052	40132	27052
HAH_RS03995	NC_015948.1	773215	773730	+	516	19348	29575	10706	5127	4857	4233	4804	41011	45490	38986	26836	25661	40195	34857	37616	37222	25078
HAH_RS04000	NC_015948.1	773727	774116	+	390	12596	20556	7512	3110	3316	2777	3126	26695	30786	24185	18177	15483	24901	20108	20391	23611	16235
HAH_RS04005	NC_015948.1	774120	774899	+	780	31770	52552	18972	9004	9306	7662	8592	71594	80972	67396	48505	43271	70578	61691	65379	62540	41923
HAH_RS04010	NC_015948.1	775004	775088	+	85	991	1199	670	277	276	161	260	1356	1943	1027	696	827	935	1002	988	1417	1103
HAH_RS04015	NC_015948.1	775113	775463	+	351	14659	22055	7854	3891	3675	3135	3859	29434	39893	31161	21505	21083	30808	27136	30675	29995	18872
HAH_RS04020	NC_015948.1	775460	775897	+	438	20694	34215	10968	5440	5294	4764	5260	41904	56384	44980	30098	27872	46028	39533	44546	44152	25833
HAH_RS04025	NC_015948.1	775891	776289	+	399	15129	22581	8121	3930	3763	3193	3694	28302	35713	30314	20871	20541	28418	24909	27811	30314	18466
HAH_RS04030	NC_015948.1	776302	776502	+	201	5307	8059	3156	1318	1343	1022	1298	8292	12573	9691	6365	6048	8800	7552	8337	10655	6130
HAH_RS04035	NC_015948.1	776499	776672	+	174	7002	11039	3878	1706	1575	1331	1631	13424	18473	13676	8781	8735	12681	11336	12309	15086	9014
HAH_RS04040	NC_015948.1	776675	777880	+	1206	63111	107513	31872	15651	14604	13209	14826	138268	172711	151821	98228	90777	149354	131126	142597	146320	82927
HAH_RS04045	NC_015948.1	777877	778698	+	822	40261	68798	20451	9116	8522	7595	8583	87683	106910	95352	65245	57304	93404	81536	89414	89678	51929
HAH_RS04050	NC_015948.1	778799	779182	+	384	783	739	767	696	674	543	748	1482	1499	1657	1308	1038	1489	1001	1576	1455	835
HAH_RS04055	NC_015948.1	779241	779621	+	381	319	250	330	186	216	181	236	556	431	473	459	281	445	318	526	474	311
HAH_RS04060	NC_015948.1	779692	781029	+	1338	2663	3597	2289	1710	1807	1420	1953	2317	2375	2418	1997	1623	2272	2118	2382	2372	2811
HAH_RS04065	NC_015948.1	781399	783579	+	2181	2108	2698	1680	2166	2198	2059	2591	2353	2724	2403	1886	1515	2431	2415	2328	2449	2299
HAH_RS04070	NC_015948.1	783647	784630	+	984	1901	2411	1514	1256	1207	1286	1386	3931	2510	2550	1644	1857	2466	2474	2410	2676	1949
HAH_RS04075	NC_015948.1	784627	785382	+	756	1863	2235	1541	1149	1111	1186	1318	3903	2456	2451	1516	1714	2409	2405	2348	2609	2043
HAH_RS04080	NC_015948.1	785553	787037	+	1485	8283	13477	5599	7072	7165	7464	7897	8665	9212	9087	7039	5601	8728	9576	9724	10187	9096
HAH_RS04085	NC_015948.1	787302	788648	+	1347	35881	71631	20819	9920	9545	9336	11474	76062	87242	89076	68418	49462	91029	67819	109705	78317	45613
HAH_RS04090	NC_015948.1	788653	789693	+	1041	18672	36014	11236	6300	5996	5656	7022	43856	46636	49461	38833	28567	50782	36685	61089	42712	23321
HAH_RS04095	NC_015948.1	789781	790716	+	936	1526	1836	1292	1115	1168	1100	1280	2257	1501	1748	1915	986	1462	1535	2167	1736	1481
HAH_RS04100	NC_015948.1	791492	793231	+	1740	5743	6818	4167	5229	5001	5051	6663	8362	9021	7877	4953	5914	8209	7654	6954	8137	6708
HAH_RS04105	NC_015948.1	793240	795681	-	2442	782	991	681	577	554	490	562	1854	1046	1168	864	705	1039	972	1158	1038	855
HAH_RS04110	NC_015948.1	795935	796306	+	372	926	1483	662	683	790	613	672	1261	1127	919	995	533	840	1067	963	1082	947
HAH_RS19675	NC_015948.1	796364	796519	+	156	84	68	52	27	54	21	26	93	65	52	62	52	39	46	50	75	42
HAH_RS04115	NC_015948.1	796651	797607	+	957	5764	6457	4230	3598	3350	3037	3974	8529	7663	7186	4298	4997	7410	7050	5532	6971	6475
HAH_RS04120	NC_015948.1	797657	797986	+	330	1482	1663	1110	1092	984	905	1115	1855	2016	1809	1126	1375	1926	1661	1543	1769	1707
HAH_RS04125	NC_015948.1	798191	799045	+	855	82	114	64	59	83	62	70	150	112	98	75	73	95	80	105	81	97
HAH_RS04130	NC_015948.1	799048	800712	+	1665	277	325	217	217	212	183	222	410	356	295	239	200	302	281	277	335	320
HAH_RS04135	NC_015948.1	800705	802366	+	1662	328	489	247	237	292	261	292	486	456	420	335	304	465	445	362	406	362
HAH_RS04140	NC_015948.1	802378	802737	+	360	31	32	27	24	14	29	21	39	39	24	13	16	27	23	26	34	44
HAH_RS04145	NC_015948.1	802806	803537	+	732	79	83	64	60	56	41	61	123	121	76	58	67	61	60	67	87	86
HAH_RS04150	NC_015948.1	803542	804516	-	975	1040	657	748	858	784	820	853	323	206	189	114	142	156	232	154	212	1037
HAH_RS04155	NC_015948.1	804593	806194	-	1602	1473	1568	903	1219	1145	1033	1286	679	570	559	403	323	498	622	511	569	1460
HAH_RS19865	NC_015948.1	806318	806482	-	165	137	166	105	57	52	46	61	112	157	117	88	73	76	108	85	156	113
HAH_RS04160	NC_015948.1	806479	806976	-	498	680	810	404	351	300	280	350	647	736	712	432	540	672	718	669	866	683
HAH_RS04165	NC_015948.1	806973	809210	-	2238	977	1340	827	863	787	820	971	2148	1816	1932	1190	1191	2126	1683	1815	1813	1173
HAH_RS04170	NC_015948.1	809235	810311	+	1077	445	486	338	186	228	202	263	608	693	610	437	420	598	530	435	617	533
HAH_RS04175	NC_015948.1	810525	810887	+	363	19415	32266	9705	7036	6657	5377	7423	45819	66752	54952	34449	35938	52865	47106	53713	48908	25771
HAH_RS04180	NC_015948.1	810899	811126	+	228	9901	14298	5319	3336	3106	2744	3733	19606	28115	23027	15237	18268	23786	19661	22847	23086	12648
HAH_RS04185	NC_015948.1	811129	811497	+	369	16757	26209	9234	5951	5524	4646	6336	36355	51382	42297	28425	32084	44558	37795	43214	40711	22306
HAH_RS04190	NC_015948.1	811497	811961	+	465	19568	26142	9642	5453	5112	4104	5485	39359	52005	46251	27722	36841	46282	37782	45739	43333	24174
HAH_RS04195	NC_015948.1	812028	812285	+	258	489	483	394	373	287	227	308	605	706	708	559	445	592	405	793	529	529
HAH_RS04200	NC_015948.1	812258	812971	-	714	928	1118	883	690	613	530	733	1831	772	937	857	627	830	696	1051	900	973
HAH_RS04205	NC_015948.1	813020	813424	-	405	1452	1656	1083	1308	1213	1175	1266	1527	1916	1584	1210	1155	1534	1491	2015	1714	1658
HAH_RS04210	NC_015948.1	813460	813533	-	74	12	14	10	10	3	4	3	5	16	12	12	3	4	4	7	3	17
HAH_RS04215	NC_015948.1	813566	814033	-	468	2064	2502	1565	1112	1157	1048	1255	2485	1732	1762	1550	1280	1671	1482	1961	1639	2144
HAH_RS04220	NC_015948.1	814120	814695	-	576	813	997	762	484	485	442	525	1224	490	577	692	393	525	466	757	550	835
HAH_RS04225	NC_015948.1	814763	815536	-	774	3626	4894	2821	1555	1264	1175	1777	9019	4198	3555	2551	2456	3735	3647	3789	3560	4192
HAH_RS04230	NC_015948.1	815645	815983	-	339	574	538	408	358	354	310	436	1311	657	548	433	466	564	609	768	737	607
HAH_RS04235	NC_015948.1	816039	816338	-	300	1760	1628	1278	1981	2083	1736	2195	2744	1350	1271	786	1182	1064	1315	1325	1522	2026
HAH_RS04240	NC_015948.1	816384	817766	-	1383	3741	4850	2960	2816	2764	2904	3449	7379	3730	3647	2974	2205	3356	4170	4231	4503	3839
HAH_RS04245	NC_015948.1	818139	818222	-	84	186	145	235	125	129	103	146	337	395	395	205	254	361	233	359	396	244
HAH_RS04250	NC_015948.1	818249	819001	-	753	1568	1745	1236	1104	1179	1005	1354	2575	2496	2547	1756	1801	2550	2209	2693	2430	1770
HAH_RS04255	NC_015948.1	819102	819644	+	543	309	394	111	52	86	54	70	210	161	147	145	92	127	346	166	353	226
HAH_RS04260	NC_015948.1	819645	820271	-	627	1734	2269	1212	1097	1141	1127	1315	2862	2703	2673	1762	1821	2597	2462	2799	2592	2011
HAH_RS04265	NC_015948.1	820273	821472	-	1200	3492	4668	2688	2850	2710	2608	3216	7278	5576	5296	3706	3574	5146	5266	5696	5687	4158
